Strategy,Pair,Config,Params,OOS_total_return_pct,OOS_annual_return_pct,OOS_sharpe_ratio,OOS_max_drawdown_pct,OOS_total_trades,OOS_win_rate_pct,OOS_avg_win_pct,OOS_avg_loss_pct,OOS_avg_hold_days,OOS_profit_factor,OOS_long_win_rate,OOS_short_win_rate,OOS_max_consec_losses,OOS_final_equity
Inside Bar Breakout,USDCHF=X,10d R0.5% SL1% TP2% 10x,,-19.68,-13.47,0.715,-48.5,16,31.2,6.11,-4.53,5.2,0.58,16.7,40.0,4,8032.18
MACD Crossover,GBPJPY=X,10d R2% SL1.5% TP3% 10x,"fast=16, slow=30, signal_period=9",-21.36,-14.68,1.94,-94.58,37,35.1,18.21,-12.04,6.6,0.79,38.9,31.6,8,7863.6
Momentum Breakout,EURGBP=X,10d R0.5% SL1% TP2% 10x,"lookback=30, vol_mult=1.0",-24.95,-17.27,0.569,-50.46,9,11.1,2.27,-3.77,6.7,0.07,20.0,0.0,4,7505.37
Consecutive Candles,GBPUSD=X,5d R1% SL0.5% TP1% 10x,n_candles=4,-28.12,-19.6,2.489,-88.14,33,39.4,14.82,-9.92,2.9,0.76,53.3,27.8,10,7187.79
Keltner Breakout,EURUSD=X,5d R1% SL0.5% TP1% 5x,"ema_period=20, atr_period=14, atr_mult=1.0",-28.55,-19.91,2.911,-82.2,67,35.8,7.78,-4.76,2.1,0.83,40.0,27.3,6,7145.07
Momentum Breakout,USDCAD=X,5d R1% SL0.5% TP1% 10x,"lookback=20, vol_mult=1.0",-28.69,-20.02,2.167,-81.72,18,33.3,12.51,-8.13,3.6,0.68,25.0,40.0,4,7131.01
Bollinger Reversal,EURGBP=X,5d R2% SL0.5% TP1% 10x,"period=30, num_std=2.0",-29.72,-20.78,2.235,-95.55,20,55.0,15.62,-18.44,3.1,0.69,100.0,47.1,4,7028.01
SMA Crossover,EURJPY=X,5d R2% SL0.5% TP1% 10x,"fast=10, slow=30",-30.75,-21.55,2.348,-95.19,19,42.1,28.4,-18.9,2.6,0.9,55.6,30.0,7,6924.64
Keltner Breakout,EURJPY=X,5d R1% SL0.5% TP1% 5x,"ema_period=15, atr_period=10, atr_mult=1.0",-32.97,-23.22,2.755,-82.97,52,32.7,8.37,-4.86,2.6,0.8,31.0,40.0,7,6702.67
MACD Crossover,GBPUSD=X,10d R2% SL1.5% TP3% 10x,"fast=12, slow=26, signal_period=9",-35.95,-25.49,1.605,-79.96,29,48.3,10.2,-10.96,7.6,0.77,42.9,53.3,3,6405.48
Inside Bar Breakout,USDCAD=X,7d R1% SL0.7% TP1.5% 10x,,-38.28,-27.29,1.613,-78.53,16,31.2,9.56,-8.03,5.4,0.49,33.3,25.0,6,6172.05
Triple EMA,NZDUSD=X,10d R1% SL1% noTP 10x,"fast=3, medium=10, slow=30",-40.33,-28.89,2.001,-83.43,32,28.1,13.46,-9.54,6.1,0.4,25.0,31.2,9,5967.5
Momentum Breakout,USDCHF=X,10d R2% SL1.5% TP3% 10x,"lookback=30, vol_mult=1.0",-40.91,-29.35,1.075,-76.61,8,50.0,9.74,-19.88,8.0,0.38,33.3,60.0,2,5909.36
SMA Crossover,USDJPY=X,10d R2% SL1% TP2% 10x,"fast=5, slow=30",-44.98,-32.61,2.186,-96.24,21,23.8,34.57,-17.76,5.1,0.58,20.0,27.3,7,5502.07
RSI Reversal,AUDUSD=X,10d R2% SL1% TP2% 10x,"rsi_period=14, oversold=30, overbought=70",-46.3,-33.68,1.429,-84.37,8,37.5,14.38,-17.81,6.0,0.43,33.3,40.0,2,5369.69
Inside Bar Breakout,GBPJPY=X,7d R2% SL0.7% TP1.5% 10x,,-47.35,-34.54,2.017,-87.04,12,33.3,30.36,-18.63,4.2,0.62,20.0,42.9,3,5264.55
Momentum Breakout,GBPUSD=X,10d R1% SL1% TP2% 10x,"lookback=10, vol_mult=1.0",-52.68,-39.0,1.632,-81.84,25,40.0,7.74,-9.34,7.0,0.46,46.7,30.0,6,4731.87
Keltner Breakout,AUDUSD=X,10d R0.5% SL1% TP2% 10x,"ema_period=15, atr_period=10, atr_mult=1.0",-54.94,-40.94,1.075,-75.1,37,27.0,5.49,-4.77,4.3,0.36,40.9,6.7,11,4505.71
Bollinger Reversal,USDCHF=X,10d R2% SL1.5% TP3% 10x,"period=15, num_std=2.0",-55.68,-41.57,1.611,-86.16,24,41.7,16.98,-14.97,7.9,0.58,21.4,70.0,5,4432.44
Z-Score Reversion,USDCHF=X,10d R2% SL1.5% TP3% 10x,"lookback=15, z_entry=2.0",-55.68,-41.57,1.611,-86.16,24,41.7,16.98,-14.97,7.9,0.58,21.4,70.0,5,4432.44
MACD Crossover,NZDUSD=X,10d R2% SL1.5% TP3% 10x,"fast=8, slow=21, signal_period=7",-65.98,-50.95,1.759,-90.7,45,35.6,18.89,-14.35,6.0,0.52,36.4,34.8,4,3401.54
Momentum Breakout,GBPJPY=X,5d R2% SL0.5% TP1% 10x,"lookback=10, vol_mult=1.0",-74.65,-59.61,2.492,-94.93,17,23.5,39.96,-18.68,1.9,0.49,30.8,0.0,5,2534.6
MACD Crossover,EURUSD=X,10d R2% SL1.5% TP3% 10x,"fast=16, slow=30, signal_period=9",-75.16,-60.14,1.409,-89.53,43,34.9,11.17,-9.83,5.6,0.47,38.1,31.8,7,2484.46
