Strategy,Pair,Config,Params,Profitable,OOS_total_return_pct,OOS_annual_return_pct,OOS_sharpe_ratio,OOS_max_drawdown_pct,OOS_total_trades,OOS_win_rate_pct,OOS_avg_win_pct,OOS_avg_loss_pct,OOS_avg_hold_days,OOS_profit_factor,OOS_long_win_rate,OOS_short_win_rate,OOS_final_equity,OOS_buy_hold_pct
MACD Crossover,EURGBP=X,5d SL0.5% TP1%,"fast=5, slow=15, signal_period=5",True,81.45,48.22,2.186,-52.67,63,36.5,0.4549,-0.4034,3.2,0.6,35.5,37.5,18144.52,4.22
Triple EMA,GBPUSD=X,10d SL1.5% 3% 10x,"fast=5, medium=13, slow=50",True,71.17,42.62,1.541,-63.3,18,44.4,9.6256,-8.0515,8.4,0.85,50.0,33.3,17117.23,6.76
Bollinger Reversal,GBPUSD=X,10d SL1.5% 3% 10x,"period=20, num_std=2.5",True,70.39,42.19,0.875,-50.49,5,80.0,16.2569,-1.9275,7.0,24.53,100.0,66.7,17038.56,6.76
Z-Score Reversion,GBPUSD=X,10d SL1.5% 3% 10x,"lookback=20, z_entry=2.5",True,70.39,42.19,0.875,-50.49,5,80.0,16.2569,-1.9275,7.0,24.53,100.0,66.7,17038.56,6.76
Triple EMA,USDCAD=X,10d SL1% TP2% 10x,"fast=8, medium=21, slow=55",True,65.3,39.37,1.395,-61.91,14,42.9,7.0163,-6.9261,7.8,0.67,33.3,50.0,16529.57,-1.17
Consecutive Candles,EURUSD=X,10d SL1.5% 3% 10x,n_candles=5,True,64.12,38.71,1.157,-56.07,10,60.0,15.0259,-7.1436,9.1,2.44,57.1,66.7,16411.97,11.29
Bollinger Reversal,EURUSD=X,10d SL1.5% 3% 10x,"period=25, num_std=2.5",True,51.26,31.43,1.136,-66.0,9,33.3,13.3457,-10.1354,8.1,0.54,66.7,16.7,15126.02,11.29
Consecutive Candles,USDCAD=X,10d SL1.5% 3% 10x,n_candles=4,True,50.74,31.14,1.57,-66.5,23,52.2,5.3748,-7.4838,8.8,0.73,44.4,57.1,15074.1,-1.17
Consecutive Candles,EURGBP=X,10d SL1% TP2% 10x,n_candles=3,True,49.3,30.3,1.563,-69.99,43,51.2,5.6796,-6.7181,6.6,0.82,55.0,47.8,14929.8,4.22
Bollinger Reversal,AUDUSD=X,7d SL0.7% 1.5% 10x,"period=30, num_std=2.0",True,48.52,29.86,1.248,-56.97,23,47.8,12.4516,-6.9675,2.7,1.4,60.0,38.5,14851.94,10.31
Z-Score Reversion,AUDUSD=X,7d SL0.7% 1.5% 10x,"lookback=30, z_entry=2.0",True,48.52,29.86,1.248,-56.97,23,47.8,12.4516,-6.9675,2.7,1.4,60.0,38.5,14851.94,10.31
Bollinger Reversal,NZDUSD=X,10d SL1.5% 3% 10x,"period=20, num_std=2.5",True,45.8,28.28,0.797,-55.98,4,75.0,20.9932,-14.7783,4.8,2.92,100.0,0.0,14580.45,2.11
Z-Score Reversion,NZDUSD=X,10d SL1.5% 3% 10x,"lookback=20, z_entry=2.5",True,45.8,28.28,0.797,-55.98,4,75.0,20.9932,-14.7783,4.8,2.92,100.0,0.0,14580.45,2.11
Inside Bar Breakout,EURJPY=X,5d SL1% TP2% 10x,,True,31.3,19.7,1.42,-67.38,15,33.3,4.1013,-5.9491,4.5,0.31,30.0,40.0,13129.86,14.92
Bollinger Reversal,USDCAD=X,7d SL0.7% 1.5% 10x,"period=15, num_std=2.0",True,29.87,18.84,1.469,-59.64,24,45.8,9.062,-4.9522,4.6,1.36,30.8,63.6,12987.35,-1.17
Z-Score Reversion,USDCAD=X,7d SL0.7% 1.5% 10x,"lookback=15, z_entry=2.0",True,29.87,18.84,1.469,-59.64,24,45.8,9.062,-4.9522,4.6,1.36,30.8,63.6,12987.35,-1.17
RSI Reversal,USDCAD=X,5d SL1% TP2% 10x,"rsi_period=14, oversold=30, overbought=70",True,26.88,17.03,1.197,-53.55,12,58.3,6.5487,-3.4976,4.6,2.5,60.0,57.1,12687.86,-1.17
SMA Crossover,USDCHF=X,5d SL1% TP2% 10x,"fast=20, slow=50",True,25.08,15.93,0.888,-52.88,9,66.7,5.3221,-2.1904,5.0,4.86,50.0,80.0,12508.49,-11.84
Triple EMA,EURJPY=X,5d SL1% TP2% 10x,"fast=5, medium=10, slow=20",True,21.17,13.52,1.714,-72.88,27,37.0,9.5167,-7.8072,3.6,0.69,41.2,30.0,12116.78,14.92
SMA Crossover,EURUSD=X,10d SL1% TP2% 10x,"fast=5, slow=30",True,20.37,13.02,1.354,-74.83,20,35.0,9.9176,-8.3276,5.3,0.54,30.0,40.0,12036.56,11.29
Triple EMA,USDJPY=X,10d SL1.5% 3% 10x,"fast=8, medium=21, slow=55",True,17.62,11.31,1.257,-72.37,13,38.5,13.0897,-13.202,5.6,0.5,50.0,28.6,11761.65,3.28
MACD Crossover,USDJPY=X,7d SL0.7% 1.5% 10x,"fast=12, slow=30, signal_period=9",True,17.46,11.21,1.871,-66.8,40,37.5,12.4068,-6.0428,3.1,1.09,55.0,20.0,11745.98,3.28
RSI Reversal,EURUSD=X,10d SL1.5% 3% 10x,"rsi_period=7, oversold=25, overbought=75",True,13.53,8.75,1.398,-71.15,17,58.8,10.2826,-11.0709,9.2,1.21,75.0,44.4,11353.43,11.29
RSI Reversal,GBPJPY=X,7d SL0.7% 1.5% 10x,"rsi_period=14, oversold=30, overbought=70",True,13.17,8.52,0.82,-57.11,6,50.0,10.3185,-5.0841,6.0,1.73,0.0,50.0,11317.14,10.27
SMA Crossover,USDJPY=X,10d SL1.5% 3% 10x,"fast=5, slow=30",True,12.74,8.24,1.449,-78.25,21,28.6,21.6056,-10.8116,6.5,0.72,20.0,36.4,11273.65,3.28
Consecutive Candles,AUDUSD=X,10d SL1% TP2% 10x,n_candles=5,True,12.64,8.18,1.056,-59.19,13,46.2,15.4538,-9.901,5.4,1.19,100.0,12.5,11264.37,10.31
Bollinger Reversal,EURJPY=X,10d SL1.5% 3% 10x,"period=15, num_std=2.0",True,12.6,8.15,1.341,-59.0,16,56.2,9.0191,-8.6044,8.9,1.19,60.0,54.5,11259.87,14.92
Z-Score Reversion,EURJPY=X,10d SL1.5% 3% 10x,"lookback=15, z_entry=2.0",True,12.6,8.15,1.341,-59.0,16,56.2,9.0191,-8.6044,8.9,1.19,60.0,54.5,11259.87,14.92
RSI Reversal,GBPUSD=X,7d SL0.7% 1.5% 10x,"rsi_period=5, oversold=20, overbought=80",True,11.38,7.38,1.469,-64.13,18,50.0,7.6212,-5.7529,4.7,1.2,50.0,50.0,11138.2,6.76
RSI Reversal,USDJPY=X,5d SL1% TP2%,"rsi_period=14, oversold=30, overbought=70",True,10.46,6.79,0.942,-48.77,7,100.0,1.5391,0.0,3.6,inf,100.0,100.0,11045.75,3.28
Bollinger Reversal,EURGBP=X,10d SL1.5% 3% 10x,"period=30, num_std=2.0",True,10.31,6.69,1.209,-58.26,15,53.3,9.3258,-8.0267,8.7,1.21,100.0,41.7,11030.66,4.22
SMA Crossover,EURJPY=X,10d SL1.5% 3% 10x,"fast=10, slow=30",True,8.43,5.49,1.008,-65.41,19,52.6,8.0832,-6.9521,6.9,1.11,66.7,40.0,10843.15,14.92
Inside Bar Breakout,NZDUSD=X,5d SL0.5% TP1%,,True,8.29,5.4,1.573,-49.23,21,61.9,1.0054,-0.4988,1.4,3.07,60.0,63.6,10828.81,2.11
Bollinger Reversal,GBPJPY=X,5d SL1% TP2%,"period=20, num_std=2.0",True,8.05,5.25,1.449,-49.3,21,61.9,1.1439,-0.7437,3.9,2.43,60.0,63.6,10805.38,10.27
Z-Score Reversion,GBPJPY=X,5d SL1% TP2%,"lookback=20, z_entry=2.0",True,8.05,5.25,1.449,-49.3,21,61.9,1.1439,-0.7437,3.9,2.43,60.0,63.6,10805.38,10.27
Consecutive Candles,GBPUSD=X,7d SL0.7% 1.5% 10x,n_candles=5,True,3.0,1.97,0.986,-59.59,11,45.5,9.9482,-6.9675,3.9,1.09,50.0,42.9,10300.49,6.76
Bollinger Reversal,USDJPY=X,5d SL1% TP2%,"period=30, num_std=2.0",True,1.75,1.15,1.396,-50.89,24,54.2,1.0512,-0.9973,3.2,1.2,42.9,70.0,10175.0,3.28
Z-Score Reversion,USDJPY=X,5d SL1% TP2%,"lookback=30, z_entry=2.0",True,1.75,1.15,1.396,-50.89,24,54.2,1.0512,-0.9973,3.2,1.2,42.9,70.0,10175.0,3.28
Inside Bar Breakout,AUDUSD=X,5d SL0.5% TP1%,,True,0.93,0.61,1.443,-49.78,18,38.9,1.0058,-0.4986,1.7,1.22,37.5,40.0,10092.5,10.31
Consecutive Candles,GBPJPY=X,10d SL1% TP2% 10x,n_candles=5,True,0.9,0.6,0.99,-60.18,10,60.0,5.8683,-7.5584,7.8,1.03,0.0,60.0,10090.4,10.27
