Ticker,Strategy,Risk_Config,Params,Beats_BH,OOS_BH_pct,Score,OOS_total_return_pct,OOS_annual_return_pct,OOS_sharpe_ratio,OOS_max_drawdown_pct,OOS_total_trades,OOS_win_rate_pct,OOS_avg_win_pct,OOS_avg_loss_pct,OOS_profit_factor,OOS_final_equity,OOS_buy_hold_return_pct
AAPL,Dual Regime,Trail 10%,"fast_sma=40, slow_sma=200, reentry_buffer=1.0",False,36.43189870667756,10.093,34.32,21.56,1.788,-9.48,1,100.0,9.6,0.0,inf,13432.31,36.43
AAPL,Dual Regime,Trail 15%,"fast_sma=40, slow_sma=200, reentry_buffer=1.0",False,36.43189870667756,4.376,26.55,16.86,1.385,-14.47,1,100.0,3.51,0.0,inf,12654.68,36.43
AAPL,Dual Regime,Trail 20%,"fast_sma=30, slow_sma=100, reentry_buffer=1.0",False,36.43189870667756,5.32,31.3,19.75,1.332,-13.72,1,100.0,22.03,0.0,inf,13130.25,36.43
AAPL,SMA Crossover,No stops,"fast_period=10, slow_period=75",False,36.43189870667756,4.621,32.06,20.2,1.332,-16.18,2,50.0,21.78,-5.82,3.09,13205.74,36.43
AAPL,SMA Crossover,Trail 10%,"fast_period=5, slow_period=100",False,36.43189870667756,1.61,17.71,11.4,0.845,-20.3,4,25.0,17.76,-4.42,1.2,11771.42,36.43
AAPL,SMA Crossover,Trail 15%,"fast_period=5, slow_period=30",False,36.43189870667756,0.907,10.99,7.15,0.525,-18.48,7,14.3,19.4,-4.09,0.69,11099.39,36.43
AAPL,SMA Crossover,Trail 20%,"fast_period=10, slow_period=75",False,36.43189870667756,4.621,32.06,20.2,1.332,-16.18,2,50.0,21.78,-5.82,3.09,13205.74,36.43
COST,Crash Avoider,No stops,"trend_sma=30, confirm_days=7, rsi_exit=35, rsi_reentry=45",False,5.095665552455064,-0.282,-8.35,-5.61,-0.216,-29.62,5,0.0,0.0,-4.22,0.0,9164.88,5.1
COST,Crash Avoider,Trail 10%,"trend_sma=30, confirm_days=2, rsi_exit=30, rsi_reentry=45",False,5.095665552455064,0.043,0.86,0.57,0.122,-22.65,4,50.0,2.25,-7.85,0.28,10086.48,5.1
COST,Crash Avoider,Trail 15%,"trend_sma=30, confirm_days=7, rsi_exit=35, rsi_reentry=45",False,5.095665552455064,-0.273,-8.0,-5.37,-0.21,-29.32,5,0.0,0.0,-4.15,0.0,9199.58,5.1
COST,Crash Avoider,Trail 20%,"trend_sma=30, confirm_days=7, rsi_exit=35, rsi_reentry=45",False,5.095665552455064,-0.282,-8.35,-5.61,-0.216,-29.62,5,0.0,0.0,-4.22,0.0,9164.88,5.1
COST,Dip Buyer,No stops,"fast_ema=21, slow_ema=75, dip_pct=7, trend_lookback=10",False,5.095665552455064,-0.782,-11.65,-7.87,-0.808,-14.9,2,50.0,0.43,-13.28,0.03,8835.27,5.1
COST,Dip Buyer,Trail 10%,"fast_ema=21, slow_ema=75, dip_pct=7, trend_lookback=10",False,5.095665552455064,-0.713,-9.09,-6.11,-0.583,-12.75,3,33.3,0.43,-5.45,0.04,9091.17,5.1
COST,Dip Buyer,Trail 15%,"fast_ema=21, slow_ema=75, dip_pct=7, trend_lookback=10",False,5.095665552455064,-0.79,-12.26,-8.29,-0.895,-15.52,2,50.0,0.43,-13.93,0.03,8773.63,5.1
